timestamp,value,gesture
1764099363.819177,750.0,shoot
1764020130.7473476,538.0,up_down
1764020223.7828047,380.0,shoot
1764099416.4652357,457.0,shoot
1764019556.40738,433.0,round
1764099487.7715788,0.0,up_down
1764020098.4597893,608.0,up_down
1764020241.6106613,294.0,shoot
1764099368.2046225,434.0,shoot
1764099479.725816,0.0,up_down
1764099125.6322055,501.0,round
1764020098.1697743,409.0,up_down
1764020146.197095,513.0,up_down
1764019485.9015155,1.0,round
1764020210.2762563,736.0,shoot
1764020248.195371,654.0,shoot
1764099464.0791094,6.0,up_down
1764019540.638015,373.0,round
1764099394.5333145,226.0,shoot
1764019514.950043,1023.0,round
1764019528.595115,77.0,round
1764020096.637828,573.0,up_down
1764099148.4045532,372.0,round
1764019513.7465816,1023.0,round
1764099365.7402785,669.0,shoot
1764099501.1883652,1023.0,up_down
1764020216.6200564,0.0,shoot
1764099373.1864104,202.0,shoot
1764020245.9745696,563.0,shoot
1764020110.9865024,691.0,up_down
1764099132.8422632,554.0,round
1764019511.2360864,1023.0,round
1764019554.7740705,400.0,round
1764020141.1672685,569.0,up_down
1764099481.7572172,313.0,up_down
1764020143.959513,551.0,up_down
1764020140.4090269,582.0,up_down
1764020133.407043,422.0,up_down
1764020219.9842346,254.0,shoot
1764019500.7242522,335.0,round
1764099112.2056456,463.0,round
1764099120.2988667,253.0,round
1764020244.9236405,519.0,shoot
1764099373.8635125,584.0,shoot
1764099373.4680617,303.0,shoot
1764020095.521153,682.0,up_down
1764099478.7635016,53.0,up_down
1764099463.0715497,0.0,up_down
1764019534.2099648,827.0,round
1764099106.24256,333.0,round
1764020108.8796718,522.0,up_down
1764020246.8433318,706.0,shoot
1764019492.2279377,401.0,round
1764099126.9399128,423.0,round
1764019553.5778494,853.0,round
1764020113.8644674,485.0,up_down
1764099102.4804268,489.0,round
1764099491.6827958,443.0,up_down
1764020237.3428562,633.0,shoot
1764099122.4231672,824.0,round
1764019479.6418064,209.0,round
1764099369.3416157,478.0,shoot
1764019503.7653282,1023.0,round
1764099478.939467,357.0,up_down
1764099496.9669447,0.0,up_down
1764020097.2881763,407.0,up_down
1764099509.9838743,1023.0,up_down
1764019481.8236463,1023.0,round
1764020106.9446392,598.0,up_down
1764020148.5165,512.0,up_down
1764099137.6025078,379.0,round
1764020217.2803187,778.0,shoot
1764019555.651851,342.0,round
1764020106.5568926,696.0,up_down
1764099136.480097,234.0,round
1764019550.5693443,194.0,round
1764019473.886311,1023.0,round
1764099125.15834,635.0,round
1764020215.587169,410.0,shoot
1764099404.4590604,557.0,shoot
1764099478.3103848,1023.0,up_down
1764020218.7677324,853.0,shoot
1764020151.349712,574.0,up_down
1764020114.2756355,737.0,up_down
1764020203.192468,0.0,shoot
1764020121.4959767,576.0,up_down
1764019555.975847,469.0,round
1764099520.7040308,414.0,up_down
1764099506.575158,1023.0,up_down
1764019491.8907387,317.0,round
1764019509.545184,691.0,round
1764099111.2037194,568.0,round
1764019528.8841248,543.0,round
1764099110.171998,311.0,round
1764099360.5520866,807.0,shoot
1764099109.633571,660.0,round
1764099502.3394468,51.0,up_down
1764099372.2139556,367.0,shoot
1764099491.687337,517.0,up_down
1764099462.923712,574.0,up_down
1764020200.1159782,662.0,shoot
1764099520.1290271,458.0,up_down
1764019523.5990374,531.0,round
1764099503.230269,0.0,up_down
1764019539.3627665,427.0,round
1764099414.7191744,430.0,shoot
1764099373.436416,390.0,shoot
1764099464.6934297,94.0,up_down
1764020121.8671424,370.0,up_down
1764099409.9764102,539.0,shoot
1764099372.5967064,750.0,shoot
1764099145.827009,591.0,round
1764019545.432603,754.0,round
1764020114.8612103,514.0,up_down
1764099382.386783,566.0,shoot
1764019535.667991,1023.0,round
1764020215.749677,19.0,shoot
1764099388.063777,496.0,shoot
1764020227.8253453,623.0,shoot
1764099383.91373,647.0,shoot
1764099119.217075,668.0,round
1764019506.7237954,32.0,round
1764019483.1885412,325.0,round
1764099470.3178184,1023.0,up_down
1764020139.608796,620.0,up_down
1764099413.3741703,732.0,shoot
1764099514.9977612,326.0,up_down
1764019545.6734529,557.0,round
1764020235.5284877,349.0,shoot
1764099109.4576914,606.0,round
1764099133.6030974,686.0,round
1764019487.4163637,918.0,round
1764099474.5191555,695.0,up_down
1764099498.828158,101.0,up_down
1764099365.4302697,544.0,shoot
1764020147.3330772,565.0,up_down
1764099360.5177512,777.0,shoot
1764099488.4973717,749.0,up_down
1764099360.4037066,567.0,shoot
1764020241.835038,616.0,shoot
1764019477.876198,398.0,round
1764099148.5162454,562.0,round
1764099470.245211,1023.0,up_down
1764019552.0738986,625.0,round
1764099140.0024438,497.0,round
1764020200.174937,748.0,shoot
1764019524.6566522,392.0,round
1764020204.77941,844.0,shoot
1764020237.1777997,259.0,shoot
1764020211.3623986,277.0,shoot
1764020198.2095556,401.0,shoot
1764099103.544813,666.0,round
1764020140.6446486,559.0,up_down
1764099476.511197,1013.0,up_down
1764020144.1094174,741.0,up_down
1764099143.467952,615.0,round
1764020232.165582,645.0,shoot
1764099400.4129455,427.0,shoot
1764099134.4323854,367.0,round
1764099132.096983,568.0,round
1764019492.6900537,294.0,round
1764099382.8451908,765.0,shoot
1764020109.280215,743.0,up_down
1764020219.4873612,635.0,shoot
1764099133.240805,749.0,round
1764020236.9201782,636.0,shoot
1764019508.5857546,1023.0,round
1764020220.050603,311.0,shoot
1764019493.703674,120.0,round
1764020219.7663035,201.0,shoot
1764099507.4385445,1023.0,up_down
1764099385.2592893,491.0,shoot
